hour,AUC
6,0.8251851851851852
7,0.7563636363636365
8,0.846388888888889
9,0.7964652014652015
10,0.8452500000000002
11,0.8802941176470587
12,0.8296101364522417
13,0.8486491228070177
14,0.8123809523809524
15,0.8261264822134389
16,0.8226138716356108
17,0.8285421245421246
18,0.859655406322073
19,0.8538624338624339
20,0.8796366995073892
21,0.8680952380952381
22,0.868963133640553
23,0.860625
24,0.8618188582251082
25,0.8880262445887446
26,0.8764258658008658
27,0.8737624140565317
28,0.8679118920295392
29,0.8602310924369749
30,0.9193937575030012
31,0.8806009070294784
32,0.9002154195011337
33,0.9153854875283447
34,0.8850113378684807
35,0.8991496598639457
36,0.9065646258503401
37,0.8948752834467121
38,0.8930952380952382
39,0.8864484126984128
40,0.8731547619047618
41,0.8800198412698413
42,0.8898225010725012
43,0.9000568425568425
44,0.877301051051051
45,0.8606906906906908
46,0.8508558558558559
47,0.8635435435435436
48,0.8395491544175754
49,0.8442354196301565
50,0.8707764343290658
51,0.8763537221431957
52,0.8820389113810166
53,0.8841306792622583
54,0.8894781826360775
55,0.8832759784075574
56,0.8620434098065677
57,0.8506380266906584
58,0.8559761583445795
59,0.8622439646123856
60,0.8528272604588394
61,0.8610368870895188
62,0.869209026840606
63,0.8837464387464388
64,0.8890883190883192
65,0.8852421652421654
66,0.8704985754985756
67,0.8866666666666668
68,0.8812535612535612
69,0.8775498575498575
70,0.9051851851851853
71,0.8993447293447294
72,0.8743447293447294
73,0.8915811965811966
74,0.8994871794871794
75,0.8907977207977209
76,0.8855270655270655
77,0.8695014245014246
78,0.8771937321937323
79,0.8944301994301994
80,0.8712820512820513
81,0.8925071225071226
82,0.8712108262108262
83,0.8909401709401711
