hour,AUC,Accuracy,Acc_class_0,Acc_class_1
6,0.5861904761904763,0.5,0.6,0.4333333333333334
7,0.6644179894179895,0.48,0.3555555555555555,0.6333333333333334
8,0.659920634920635,0.5700000000000001,0.6222222222222222,0.5142857142857142
9,0.8261111111111111,0.6764705882352942,0.7266666666666666,0.625
10,0.7922828282828283,0.6673684210526316,0.7109090909090909,0.6044444444444445
11,0.7974074074074075,0.7316017316017316,0.6833333333333333,0.7888888888888889
12,0.8118559218559218,0.6869565217391305,0.80989010989011,0.5111111111111111
13,0.8579567099567098,0.7796923076923076,0.8095238095238095,0.7418181818181818
14,0.8296717171717173,0.678062678062678,0.75,0.5772727272727273
15,0.8126602564102564,0.7605911330049261,0.7708333333333333,0.75
16,0.8369747899159663,0.72,0.7683823529411764,0.6505494505494506
17,0.8389947089947091,0.6931818181818181,0.5300653594771242,0.8923809523809524
18,0.8356335282651072,0.7502673796791445,0.7842105263157895,0.7066666666666666
19,0.8105701754385966,0.7504201680672269,0.7157894736842105,0.7908333333333333
20,0.8291195820433437,0.7806306306306307,0.7573684210526316,0.8102941176470587
21,0.8219537815126051,0.7773826458036984,0.7238095238095238,0.8441176470588235
22,0.8165831989361401,0.720782726045884,0.7229437229437229,0.718954248366013
23,0.8344764783383709,0.7582051282051282,0.7513833992094862,0.7666666666666667
24,0.8353225348110259,0.7479268292682928,0.7391304347826086,0.7581699346405228
25,0.8555555555555555,0.7770731707317073,0.7913043478260869,0.7594771241830066
26,0.8539357772094345,0.7734146341463415,0.782608695652174,0.7601307189542483
27,0.8598595718480627,0.7779326364692217,0.7630434782608695,0.7980392156862746
28,0.8531685137823246,0.768060394889663,0.7202898550724637,0.8320261437908496
29,0.8508252818035427,0.7608594657375145,0.7811594202898551,0.7333333333333334
30,0.8354970760233918,0.7179401993355482,0.7203333333333333,0.7134502923976608
31,0.8593918128654969,0.772093023255814,0.772,0.7725146198830409
32,0.8576432748538012,0.758139534883721,0.7713333333333333,0.7385964912280701
33,0.8457719298245614,0.7641649048625794,0.7556666666666667,0.7736842105263158
34,0.8412923976608185,0.7640591966173361,0.7796666666666667,0.7409356725146199
35,0.8234795321637428,0.7654334038054967,0.7350000000000001,0.8070175438596492
36,0.8232631578947369,0.7420718816067653,0.7270000000000001,0.7637426900584795
37,0.8271695906432749,0.7556025369978858,0.7753333333333334,0.7339181286549707
38,0.8347134502923976,0.7289640591966172,0.632,0.8602339181286549
39,0.813315339631129,0.7030655391120507,0.74,0.6584795321637427
40,0.8160710751237067,0.7441860465116279,0.7070769230769232,0.7953216374269005
41,0.8333891138101663,0.7511111111111111,0.796,0.6865497076023391
42,0.8446693657219972,0.7487878787878788,0.7999999999999999,0.6771929824561405
43,0.8247646657003382,0.7466666666666667,0.7492877492877492,0.7421052631578948
44,0.8501091284717015,0.7626086956521739,0.7467236467236468,0.787719298245614
45,0.8351093783842322,0.786280193236715,0.7333333333333334,0.8614035087719298
46,0.8376001732726879,0.7428019323671498,0.6888888888888889,0.82046783625731
47,0.83487112843838,0.7642512077294685,0.7777777777777778,0.7461988304093568
48,0.8587301587301589,0.7843663274745605,0.7952380952380953,0.7684210526315789
49,0.8498468393205236,0.7594819611470861,0.8190476190476191,0.6736842105263159
50,0.8622110832637148,0.777613320999075,0.7838624338624338,0.768421052631579
51,0.8420356446672237,0.7520814061054579,0.6981481481481481,0.8315789473684211
52,0.859035519834068,0.7841312056737588,0.8022167487684729,0.7578947368421052
53,0.859437386569873,0.7891843971631206,0.7891625615763547,0.7894736842105263
54,0.8643894218304382,0.7592198581560284,0.7536945812807881,0.7684210526315789
55,0.8668395125745398,0.801595744680851,0.7751231527093596,0.8421052631578947
56,0.8556261343012703,0.7639184397163121,0.7475369458128079,0.7894736842105263
57,0.8759029038112522,0.7115248226950355,0.638423645320197,0.8247368421052631
58,0.8601834327197304,0.7740248226950355,0.7692118226600986,0.7810526315789474
59,0.8723703655690951,0.760904255319149,0.7192118226600985,0.8236842105263158
60,0.8676244490536685,0.7824468085106383,0.8128078817733991,0.7410526315789474
61,0.9002547316567281,0.7909574468085105,0.8403940886699509,0.7194736842105263
62,0.8996156339123671,0.7988475177304964,0.8238916256157636,0.7584210526315789
63,0.8677106559502203,0.7791666666666666,0.798768472906404,0.7521052631578947
64,0.8929031630801141,0.825,0.833743842364532,0.8136842105263158
65,0.8956844697951777,0.825,0.8472906403940886,0.7899999999999999
66,0.900882810474462,0.8166666666666667,0.8891625615763546,0.7094736842105263
67,0.9033536427275084,0.8083333333333332,0.8197044334975369,0.7905263157894737
68,0.8928798288825511,0.7916666666666666,0.8541871921182267,0.6968421052631578
69,0.8974818511796734,0.8,0.7921182266009852,0.8115789473684212
70,0.907674358309567,0.8041666666666666,0.7926108374384235,0.8231578947368421
71,0.8862529167746954,0.7791666666666666,0.8064039408866994,0.7389473684210526
72,0.900426497277677,0.8,0.7997536945812808,0.8036842105263158
73,0.8982661394866476,0.8083333333333333,0.7783251231527094,0.8542105263157895
74,0.8870780399274046,0.8041666666666666,0.8061576354679805,0.8026315789473685
75,0.8786304122374903,0.7875,0.7849753694581281,0.7905263157894737
76,0.8801289862587502,0.8083333333333332,0.8128078817733989,0.8021052631578949
77,0.8712179154783511,0.8083333333333333,0.8672413793103448,0.7178947368421053
78,0.8878681617837698,0.8208333333333334,0.8187192118226602,0.8226315789473684
79,0.8833841068187711,0.7916666666666666,0.7906403940886699,0.79
80,0.8924351827845476,0.8208333333333334,0.826847290640394,0.8121052631578948
81,0.8700589836660617,0.7833333333333334,0.7980295566502462,0.7589473684210526
82,0.8733257713248639,0.7916666666666667,0.8475369458128078,0.7078947368421054
83,0.8899585169821105,0.8125,0.805665024630542,0.8226315789473684
